,solar-rooftop,onwind,offwind
2023-12-12 00:15:00+01:00,0.0,0.07306644960781411,0.07653724414433424
2023-12-12 00:30:00+01:00,0.0,0.07076809234867545,0.07192023633677991
2023-12-12 00:45:00+01:00,0.0,0.062276158058309904,0.07048533445874657
2023-12-12 01:00:00+01:00,0.0,0.06032410833210004,0.060871491875923195
2023-12-12 01:15:00+01:00,0.0,0.06001331952049726,0.05273053386790462
2023-12-12 01:30:00+01:00,0.0,0.05587390853929259,0.04552226208060772
2023-12-12 01:45:00+01:00,0.0,0.04800799171229835,0.03868537666174299
2023-12-12 02:00:00+01:00,0.0,0.043112327956193575,0.03665119223464866
2023-12-12 02:15:00+01:00,0.0,0.04265354447239899,0.03913905887317999
2023-12-12 02:30:00+01:00,0.0,0.043051650140594935,0.031614264612787504
2023-12-12 02:45:00+01:00,0.0,0.04139558975876868,0.022411901244988392
2023-12-12 03:00:00+01:00,0.0,0.04157318336539885,0.020422029964127453
2023-12-12 03:15:00+01:00,0.0,0.03871984608554092,0.018961806288246466
2023-12-12 03:30:00+01:00,0.0,0.03869616693799024,0.019039881831610046
2023-12-12 03:45:00+01:00,0.0,0.035591238715406245,0.025176197510023212
2023-12-12 04:00:00+01:00,0.0,0.03782743821222436,0.03158894281493986
2023-12-12 04:15:00+01:00,0.0,0.04150806570963446,0.04227263135682634
2023-12-12 04:30:00+01:00,0.0,0.04081545064377683,0.04977843426883309
2023-12-12 04:45:00+01:00,0.0,0.04015835429924523,0.051145811352606034
2023-12-12 05:00:00+01:00,0.0,0.04281929850525381,0.05132095378771893
2023-12-12 05:15:00+01:00,0.0,0.044928222583986974,0.053587254695083346
2023-12-12 05:30:00+01:00,0.0,0.04551132159242267,0.060721671238657945
2023-12-12 05:45:00+01:00,0.0,0.04558235903507474,0.06267566997256804
2023-12-12 06:00:00+01:00,0.0,0.047618765724433916,0.058472251529858625
2023-12-12 06:15:00+01:00,0.0,0.050143554832026045,0.06120911584722515
2023-12-12 06:30:00+01:00,0.0,0.049579695130975286,0.07337623971301963
2023-12-12 06:45:00+01:00,0.0,0.050526861033002815,0.08829710909474572
2023-12-12 07:00:00+01:00,0.0,0.053386118099748414,0.10524794260392488
2023-12-12 07:15:00+01:00,0.0,0.05421784815746634,0.12267355982274741
2023-12-12 07:30:00+01:00,0.0,0.05791919490898328,0.14594218189491454
2023-12-12 07:45:00+01:00,0.0,0.06425336687879236,0.1695125553914328
2023-12-12 08:00:00+01:00,0.0,0.06353707266538404,0.17782654568474363
2023-12-12 08:15:00+01:00,1.2344662990700353e-06,0.06329732129643333,0.1999831188014349
2023-12-12 08:30:00+01:00,1.069870792527364e-05,0.06982832618025751,0.23278961806288248
2023-12-12 08:45:00+01:00,8.39437083367624e-05,0.07854669231907652,0.2450516986706056
2023-12-12 09:00:00+01:00,0.0002061558719446959,0.08388042030486902,0.2600569740451572
2023-12-12 09:15:00+01:00,0.0002863961813842482,0.09235311528784963,0.26790462122810715
2023-12-12 09:30:00+01:00,0.00036457904699201707,0.09583690987124464,0.2857353872124921
2023-12-12 09:45:00+01:00,0.0006127067731050942,0.093212964333284,0.29662165013715974
2023-12-12 10:00:00+01:00,0.0008916961566949223,0.09527749001035962,0.2864612787507913
2023-12-12 10:15:00+01:00,0.0012266480125092585,0.09580879088352819,0.301076176408525
2023-12-12 10:30:00+01:00,0.001314295119743231,0.09954121651620541,0.3153217978476472
2023-12-12 10:45:00+01:00,0.0013352810468274217,0.10124315524641113,0.3202468875290146
2023-12-12 11:00:00+01:00,0.0013719035470331662,0.10423116767796359,0.321844270943237
2023-12-12 11:15:00+01:00,0.0014023537157435602,0.1023175965665236,0.3254927199831188
2023-12-12 11:30:00+01:00,0.001464077030697062,0.09687879236347492,0.33510023211648027
2023-12-12 11:45:00+01:00,0.001429100485556744,0.09440284149770609,0.3393521840050644
2023-12-12 12:00:00+01:00,0.0013776643897621594,0.09833357999112033,0.34303228529225577
2023-12-12 12:15:00+01:00,0.0014023537157435602,0.10789255586798875,0.3624519940915805
2023-12-12 12:30:00+01:00,0.001540613941239404,0.11069557495930146,0.3645178307659844
2023-12-12 12:45:00+01:00,0.0013085342770142376,0.11134527157022348,0.3810656256594218
2023-12-12 13:00:00+01:00,0.001076043124022714,0.11363770904247447,0.3783287613420553
2023-12-12 13:15:00+01:00,0.0010999094724714015,0.11338611809974841,0.34274319476682846
2023-12-12 13:30:00+01:00,0.001132417085013579,0.1217996152138523,0.2965625659421819
2023-12-12 13:45:00+01:00,0.0010892107645461278,0.11805830990084358,0.32392909896602656
2023-12-12 14:00:00+01:00,0.0010850958768825613,0.11971881012283558,0.39413589364844903
2023-12-12 14:15:00+01:00,0.0009678215784709077,0.12522421192837058,0.4529309981008652
2023-12-12 14:30:00+01:00,0.000824211999012427,0.12380050318188544,0.4825448406836886
2023-12-12 14:45:00+01:00,0.0006822483746193728,0.12472398993636229,0.47649293099810086
2023-12-12 15:00:00+01:00,0.0004880256768990206,0.12908983276602043,0.46658999788985017
2023-12-12 15:15:00+01:00,0.00033783227717883304,0.14489418380938285,0.4474699303650559
2023-12-12 15:30:00+01:00,0.00022919924286066991,0.14380642296877313,0.4180417809664486
2023-12-12 15:45:00+01:00,0.00015471977615011108,0.14752996892111883,0.42585355560244775
2023-12-12 16:00:00+01:00,7.694839930869888e-05,0.1500073997336096,0.4620595062249419
2023-12-12 16:15:00+01:00,1.7282528186980496e-05,0.15242563267722362,0.48730533867904624
2023-12-12 16:30:00+01:00,0.0,0.1516590202752701,0.448301329394387
2023-12-12 16:45:00+01:00,0.0,0.15308420896847716,0.3546148976577337
2023-12-12 17:00:00+01:00,0.0,0.15041142518869322,0.34434690863051276
2023-12-12 17:15:00+01:00,0.0,0.14165606038182624,0.32951044524161216
2023-12-12 17:30:00+01:00,0.0,0.1387997632085245,0.33452205106562566
2023-12-12 17:45:00+01:00,0.0,0.141191357111144,0.36330238446929736
2023-12-12 18:00:00+01:00,0.0,0.1329436140298949,0.3740557079552648
2023-12-12 18:15:00+01:00,0.0,0.11830398105668195,0.3588351972990082
2023-12-12 18:30:00+01:00,0.0,0.11584726949829806,0.33368432158683264
2023-12-12 18:45:00+01:00,0.0,0.11160870208672488,0.3311373707533235
2023-12-12 19:00:00+01:00,0.0,0.09739381382270239,0.3241675458957586
2023-12-12 19:15:00+01:00,0.0,0.10034334763948498,0.3286136315678413
2023-12-12 19:30:00+01:00,0.0,0.09678259582655024,0.35805444186537244
