,solar-rooftop,onwind,offwind
2023-08-07 05:15:00+02:00,0.00012530373135258752,0.43765330165193,0.5362057469595833
2023-08-07 05:30:00+02:00,0.00015528825144955427,0.44797308004374664,0.5431046572565268
2023-08-07 05:45:00+02:00,0.000655714110541563,0.4470692248476184,0.5158042618731871
2023-08-07 06:00:00+02:00,0.0018041212302553906,0.47205262068649,0.5517787329526304
2023-08-07 06:15:00+02:00,0.004080261932142506,0.4777073008951093,0.5336555613237838
2023-08-07 06:30:00+02:00,0.008381778059947893,0.48182045684606667,0.5087122116125096
2023-08-07 06:45:00+02:00,0.01500409604325851,0.4819619494107796,0.47896127605236677
2023-08-07 07:00:00+02:00,0.02294541728430833,0.4786128879463748,0.4159029231795021
2023-08-07 07:15:00+02:00,0.03237823168028674,0.4766302601852565,0.3529134609943387
2023-08-07 07:30:00+02:00,0.043098486681270705,0.4806608066461672,0.3478438444940348
2023-08-07 07:45:00+02:00,0.053969453349057846,0.4846452857604272,0.3610757772960897
2023-08-07 08:00:00+02:00,0.06604469303189738,0.48766183103848093,0.20584660504230626
2023-08-07 08:15:00+02:00,0.0787366669491524,0.4930458222891488,0.19221855078596894
2023-08-07 08:30:00+02:00,0.09225621362108373,0.4952011160074504,0.179572188829375
2023-08-07 08:45:00+02:00,0.10572305066294985,0.49818337055378664,0.16874158857005078
2023-08-07 09:00:00+02:00,0.12000846510346316,0.5074025550058839,0.1626988911059662
2023-08-07 09:15:00+02:00,0.13521203711199833,0.5157087054296257,0.15101084782293125
2023-08-07 09:30:00+02:00,0.15012617959496594,0.5179303291996837,0.14490787100710806
2023-08-07 09:45:00+02:00,0.16531570622303465,0.5143280705142137,0.134635777394505
2023-08-07 10:00:00+02:00,0.17979822942986962,0.5188068210846435,0.12928813776169235
2023-08-07 10:15:00+02:00,0.1940514499645946,0.518118755038616,0.1342310446042599
2023-08-07 10:30:00+02:00,0.20871656311749373,0.5190823592369792,0.13454720365317477
2023-08-07 10:45:00+02:00,0.22302249328228388,0.5199139960738843,0.1349174910995692
2023-08-07 11:00:00+02:00,0.23565923255725507,0.5164546154372371,0.13700881554764407
2023-08-07 11:15:00+02:00,0.24921428721351171,0.5179621953342091,0.12299202098213517
2023-08-07 11:30:00+02:00,0.2645982397824197,0.5160883280757098,0.12552621413686119
2023-08-07 11:45:00+02:00,0.2746541009433604,0.5207206941968132,0.1301529619305139
2023-08-07 12:00:00+02:00,0.28496293676596124,0.5132913820290588,0.08995770603851481
2023-08-07 12:15:00+02:00,0.29800162642349537,0.5119084957019685,0.09304671526740659
2023-08-07 12:30:00+02:00,0.3060278512003987,0.5129145303511942,0.09394844516178241
2023-08-07 12:45:00+02:00,0.3114346914269365,0.5092630869798265,0.09227046483991526
2023-08-07 13:00:00+02:00,0.316547683356524,0.5195153230212906,0.09729948504210943
2023-08-07 13:15:00+02:00,0.32224411092189303,0.5376459412675967,0.12470198626614933
2023-08-07 13:30:00+02:00,0.32096882193818993,0.5375487841943972,0.10020273545237808
2023-08-07 13:45:00+02:00,0.3211005960133529,0.5278509149823654,0.1023703317332651
2023-08-07 14:00:00+02:00,0.3213297408721992,0.511615812183774,0.10094577072687058
2023-08-07 14:15:00+02:00,0.32032920478054255,0.49862274220210573,0.10187087424743076
2023-08-07 14:30:00+02:00,0.3177353859788912,0.501914306075954,0.10113768049975273
2023-08-07 14:45:00+02:00,0.31562084605900037,0.5020253179902514,0.10629710093223864
2023-08-07 15:00:00+02:00,0.3101379398393745,0.5072018329954772,0.10635368971142183
2023-08-07 15:15:00+02:00,0.30664931983272425,0.5153443231087492,0.10718898929979997
2023-08-07 15:30:00+02:00,0.298998374996824,0.5123179062564133,0.10821373827935667
2023-08-07 15:45:00+02:00,0.29388743463966416,0.511615812183774,0.10812762491973006
2023-08-07 16:00:00+02:00,0.2782595027651251,0.5136062332930099,0.13247802264043246
2023-08-07 16:15:00+02:00,0.2690796630308069,0.5317630025518885,0.12475365428192531
2023-08-07 16:30:00+02:00,0.25555064756305546,0.5409388906255548,0.11266702916290434
2023-08-07 16:45:00+02:00,0.23890229512563751,0.5381774476092173,0.15403465693667714
2023-08-07 17:00:00+02:00,0.225494638057647,0.5398627158432705,0.15679889578069142
2023-08-07 17:15:00+02:00,0.21018880305425477,0.5509779352996239,0.17221195696300326
2023-08-07 17:30:00+02:00,0.1917672607862604,0.5665604750825013,0.1664927996929444
2023-08-07 17:45:00+02:00,0.17515362726684947,0.566255149021805,0.16080931795758796
2023-08-07 18:00:00+02:00,0.1559546968620253,0.5668522926731271,0.2250990918731132
2023-08-07 18:15:00+02:00,0.13756471724676456,0.5635243598413967,0.24087382916585678
2023-08-07 18:30:00+02:00,0.1189790491845552,0.555935543815502,0.24576629818350018
2023-08-07 18:45:00+02:00,0.0993478682505437,0.548162112031977,0.2234961531932064
2023-08-07 19:00:00+02:00,0.0792689710875054,0.5411307801747615,0.32038844506336717
2023-08-07 19:15:00+02:00,0.060430486176899514,0.5270296692762837,0.30520912014289897
2023-08-07 19:30:00+02:00,0.044934959630578086,0.5000096117960117,0.28233741182607075
2023-08-07 19:45:00+02:00,0.031356075171507514,0.4741847075459526,0.2489303490543523
2023-08-07 20:00:00+02:00,0.019524499167771756,0.45786301199049906,0.23529614384375594
2023-08-07 20:15:00+02:00,0.01018195395861158,0.44530533039033415,0.22987469275983477
2023-08-07 20:30:00+02:00,0.0037774182791631417,0.44638410295532416,0.23021668581663762
2023-08-07 20:45:00+02:00,0.0010033767304027095,0.44780162638515936,0.22916610282919292
2023-08-07 21:00:00+02:00,0.00023024955169197124,0.44239460146116616,0.29337099357594343
2023-08-07 21:15:00+02:00,0.00013335220779966804,0.4368233966701621,0.29589903577641036
2023-08-07 21:30:00+02:00,9.295201230059702e-05,0.43948092837826486,0.2958326054704127
2023-08-07 21:45:00+02:00,9.689734389230317e-05,0.448339367405274,0.29564438627008593
2023-08-07 22:00:00+02:00,0.00015118510659417988,0.4313902207335965,0.3048572855592817
2023-08-07 22:15:00+02:00,9.24785725095923e-05,0.4314049415022631,0.3111853873009859
2023-08-07 22:30:00+02:00,8.016913794346908e-05,0.4340879314808833,0.31170083726789377
2023-08-07 22:45:00+02:00,7.669724614276767e-05,0.4354552311117384,0.3107511299302974
2023-08-07 23:00:00+02:00,9.421451840994299e-05,0.428117707266258,0.2860796523972729
2023-08-07 23:15:00+02:00,0.00010794427234908042,0.42434693907593407,0.2848925182252775
2023-08-07 23:30:00+02:00,8.821761439054964e-05,0.42570540624558917,0.2785619561018697
2023-08-07 23:45:00+02:00,8.206289710748804e-05,0.42610234744304576,0.2738417138034795
2023-08-08 00:00:00+02:00,7.322535434206625e-05,0.42382045511421146,0.32142426576059013
2023-08-08 00:15:00+02:00,7.433004718774398e-05,0.4206766184835703,0.3343277376052121
2023-08-08 00:30:00+02:00,7.022690233236958e-05,0.4203827226667798,0.33603770288922624
2023-08-08 00:45:00+02:00,7.196284823272027e-05,0.4219245932954692,0.33707844434985645
2023-08-08 01:00:00+02:00,7.74863124611089e-05,0.4238429692309957,0.3955235815284383
2023-08-08 01:15:00+02:00,7.985351141613258e-05,0.42424389369526794,0.4089597260118935
2023-08-08 01:30:00+02:00,8.300977668949751e-05,0.42528040899490915,0.41121835641581433
2023-08-08 01:45:00+02:00,8.237852363482452e-05,0.4238762208496308,0.41624368604545314
2023-08-08 02:00:00+02:00,9.074262660924158e-05,0.4232922392973517,0.41782817186258275
2023-08-08 02:15:00+02:00,9.563483778295721e-05,0.422289321987373,0.41993179821917576
2023-08-08 02:30:00+02:00,9.137387966391457e-05,0.4197788247804224,0.4212604043391292
2023-08-08 02:45:00+02:00,9.847547652898565e-05,0.4197332769903128,0.4288728253301217
2023-08-08 03:00:00+02:00,9.326763882793352e-05,0.42013489419664,0.41298737086071535
2023-08-08 03:15:00+02:00,9.15316929275828e-05,0.4167783857551451,0.4131448352897469
2023-08-08 03:30:00+02:00,9.310982556426527e-05,0.41624203021914025,0.4101948376271095
2023-08-08 03:45:00+02:00,8.821761439054964e-05,0.41235436180705226,0.40372280355574364
2023-08-08 04:00:00+02:00,8.3325403216834e-05,0.407382378893535,0.41014193942048166
2023-08-08 04:15:00+02:00,8.805980112688139e-05,0.4064475234904501,0.4097039914772378
2023-08-08 04:30:00+02:00,9.295201230059702e-05,0.4032345858398328,0.4057440071252654
2023-08-08 04:45:00+02:00,8.490353585351646e-05,0.40026497383599846,0.396091929701974
2023-08-08 05:00:00+02:00,8.127383078914681e-05,0.3984532801769263,0.38072930634458635
2023-08-08 05:15:00+02:00,0.00010194736832968705,0.39784401353964344,0.3940129071624172
2023-08-08 05:30:00+02:00,0.0001754883491990898,0.3985985828229412,0.4010163836817644
2023-08-08 05:45:00+02:00,0.000845405653470795,0.3979093044783176,0.38033564527200747
2023-08-08 06:00:00+02:00,0.0026814051629871715,0.40820933972156964,0.3920876584793365
2023-08-08 06:15:00+02:00,0.007618435303584586,0.4034973082641529,0.3990480783188704
2023-08-08 06:30:00+02:00,0.01666523845663047,0.3988226848777007,0.3985387793062216
2023-08-08 06:45:00+02:00,0.02842106409380547,0.4000730842867917,0.40194640796573183
2023-08-08 07:00:00+02:00,0.04372958192268002,0.4037137901563086,0.394380734227108
2023-08-08 07:15:00+02:00,0.06293624517742392,0.4011464881008563,0.3918748354619736
2023-08-08 07:30:00+02:00,0.08513788855006382,0.40058605977844375,0.3938886578863845
2023-08-08 07:45:00+02:00,0.10975470610988254,0.40010044759796015,0.39453573827443594
2023-08-08 08:00:00+02:00,0.13409361451238147,0.3873716587102355,0.38112050703546146
2023-08-08 08:15:00+02:00,0.16025147859192063,0.38455514270053365,0.3855737979190092
2023-08-08 08:30:00+02:00,0.18704122697918743,0.38582944171051864,0.38136900558752684
2023-08-08 08:45:00+02:00,0.21461120414203003,0.3855585795670535,0.3791509714817157
2023-08-08 09:00:00+02:00,0.2419241034983571,0.39043167355223407,0.3499868369578857
2023-08-08 09:15:00+02:00,0.26878881318586634,0.39812786459663796,0.3888387244397096
2023-08-08 09:30:00+02:00,0.29328758642446123,0.3989745685732371,0.3936832160141324
2023-08-08 09:45:00+02:00,0.3150236806692797,0.39204732120977004,0.39415683949207886
2023-08-08 10:00:00+02:00,0.33124988262638516,0.40413948014904344,0.3459136750475469
2023-08-08 10:15:00+02:00,0.3465798630591186,0.4178471135603391,0.35233527129398856
2023-08-08 10:30:00+02:00,0.36247544622883904,0.41354379991531226,0.35400094970733764
2023-08-08 10:45:00+02:00,0.37220210892176775,0.41226240029926453,0.35042232451942595
2023-08-08 11:00:00+02:00,0.38619541101123106,0.42407573056144143,0.31417721145258476
2023-08-08 11:15:00+02:00,0.39616163423840817,0.4300043902527729,0.3369726479366009
2023-08-08 11:30:00+02:00,0.4039748111093594,0.429588745019834,0.3213393825918153
2023-08-08 11:45:00+02:00,0.4098531973677379,0.4291566471630913,0.32255358096255055
2023-08-08 12:00:00+02:00,0.41358863731876533,0.442174655858736,0.2704673002969681
2023-08-08 12:15:00+02:00,0.410766462724586,0.43067461819088676,0.27045499838845
2023-08-08 12:30:00+02:00,0.4112006070129374,0.44293528663501414,0.2632842159132568
2023-08-08 12:45:00+02:00,0.4122391761011381,0.4462254650247525,0.26528573642914965
2023-08-08 13:00:00+02:00,0.4170739432468785,0.4404107614014518,0.2603612824493592
2023-08-08 13:15:00+02:00,0.41278378967405727,0.4404705104036868,0.2492674213477479
2023-08-08 13:30:00+02:00,0.4119854123731596,0.4371349574093525,0.2746770133918576
2023-08-08 13:45:00+02:00,0.4102106444099464,0.430983754332885,0.2905354036625242
2023-08-08 14:00:00+02:00,0.4000490483623481,0.4316435911401755,0.30115441109533736
2023-08-08 14:15:00+02:00,0.3909840966839804,0.432919448819784,0.30267492698817294
2023-08-08 14:30:00+02:00,0.38494095337833223,0.4351923355019046,0.30275857996609595
2023-08-08 14:45:00+02:00,0.37554017507487847,0.44884402999226725,0.3036197135623621
2023-08-08 15:00:00+02:00,0.3623110048080967,0.4530105270814517,0.3464500382589355
2023-08-08 15:15:00+02:00,0.3490759954505593,0.45133045441281017,0.3497383384058203
2023-08-08 15:30:00+02:00,0.3362877554424666,0.44663227779649145,0.35023656570080286
2023-08-08 15:45:00+02:00,0.32411277777698877,0.46181441267163764,0.3459690336358783
2023-08-08 16:00:00+02:00,0.30605815134702297,0.4574206961884466,0.2718094385162914
2023-08-08 16:15:00+02:00,0.2884528192787208,0.4571591860627226,0.26822097180156534
2023-08-08 16:30:00+02:00,0.2664727457282711,0.4632215449706494,0.28781422149832325
2023-08-08 16:45:00+02:00,0.24724746050841437,0.48115750269952917,0.27831222735895245
2023-08-08 17:00:00+02:00,0.2234151326822905,0.4839527168910429,0.37897997495331426
2023-08-08 17:15:00+02:00,0.20342603126627942,0.49123880463894715,0.3800391692767216
2023-08-08 17:30:00+02:00,0.18075726063318154,0.4908557182825885,0.38218462212227605
2023-08-08 17:45:00+02:00,0.16212503765819003,0.4829645203497308,0.334990810474337
2023-08-08 18:00:00+02:00,0.14112719386081155,0.4847876442527088,0.34325769299849185
2023-08-08 18:15:00+02:00,0.11990872712082484,0.4729866101620064,0.35443520707802606
2023-08-08 18:30:00+02:00,0.1008309973024979,0.45260475342279516,0.3552988010559958
2023-08-08 18:45:00+02:00,0.08179950677042575,0.44275984970961113,0.35709980046304385
2023-08-08 19:00:00+02:00,0.06387081532486728,0.4298765793436442,0.4160603876085336
2023-08-08 19:15:00+02:00,0.04900496370058216,0.4092839558342303,0.41999822852517343
2023-08-08 19:30:00+02:00,0.035724346309844564,0.3997487078195857,0.4344086841632611
2023-08-08 19:45:00+02:00,0.024025649074117476,0.38936104070638905,0.4459220403453392
2023-08-08 20:00:00+02:00,0.01404758985216527,0.37388916646678166,0.47626223732349837
2023-08-08 20:15:00+02:00,0.006667926016510739,0.3623832404914658,0.47602727087080293
2023-08-08 20:30:00+02:00,0.002335636302290044,0.3583158055161318,0.4757750817461821
2023-08-08 20:45:00+02:00,0.0005883278469552219,0.35282738340068803,0.4755302737666722
2023-08-08 21:00:00+02:00,0.00020736662846007554,0.3431056145877622,0.4538985978284671
2023-08-08 21:15:00+02:00,0.0001341412741180093,0.33399640293687993,0.4520410096422359
2023-08-08 21:30:00+02:00,0.00011930682733319414,0.3288950504446105,0.4520557719324576
2023-08-08 21:45:00+02:00,0.00010541926013038848,0.32456714445663476,0.4521923231170084
2023-08-08 22:00:00+02:00,0.000134614713909014,0.31128987704694455,0.48339242350058187
2023-08-08 22:15:00+02:00,7.180503496905202e-05,0.3113735256500734,0.4879871863320876
2023-08-08 22:30:00+02:00,4.702835257313738e-05,0.3060958703048325,0.4880302430119009
2023-08-08 22:45:00+02:00,4.892211173715633e-05,0.30486538722981976,0.48394969995645126
2023-08-08 23:00:00+02:00,6.754407685000939e-05,0.3067198577107819,0.46639979726454767
2023-08-08 23:15:00+02:00,6.89643962230236e-05,0.31170604183642453,0.4542381305035664
2023-08-08 23:30:00+02:00,6.912220948669185e-05,0.3094090823678962,0.45438329302407976
2023-08-08 23:45:00+02:00,6.864876969568711e-05,0.3055820288856118,0.4488818795347911
2023-08-09 00:00:00+02:00,6.849095643201886e-05,0.2997758113524836,0.39545469084073703
2023-08-09 00:15:00+02:00,6.391437178563972e-05,0.2980721854539755,0.4021776838458719
2023-08-09 00:30:00+02:00,6.707063705900465e-05,0.29389027485406954,0.41574053798706334
2023-08-09 00:45:00+02:00,5.0342431110170546e-05,0.28993974010049955,0.4319089363523857
2023-08-09 01:00:00+02:00,3.771737001671085e-05,0.28430601533904093,0.5275747279432932
2023-08-09 01:15:00+02:00,3.629705064369663e-05,0.282101883305869,0.5569024778504137
2023-08-09 01:30:00+02:00,3.7086116962037864e-05,0.2823931813399536,0.573482990151092
2023-08-09 01:45:00+02:00,3.75595567530426e-05,0.2810151442072476,0.5859497442433219
2023-08-09 02:00:00+02:00,5.207837701052125e-05,0.2801862783385621,0.6021058407001262
2023-08-09 02:15:00+02:00,5.6181521865895654e-05,0.27580191387311215,0.6085212859923089
2023-08-09 02:30:00+02:00,5.002680458283405e-05,0.2694712906044261,0.6090133623330324
2023-08-09 02:45:00+02:00,4.971117805549756e-05,0.2675437358366722,0.6092224947778399
2023-08-09 03:00:00+02:00,5.097368416484353e-05,0.2648515670258246,0.6028267325392862
2023-08-09 03:15:00+02:00,4.923773826449282e-05,0.263580731726114,0.6087845468345959
2023-08-09 03:30:00+02:00,5.097368416484353e-05,0.26243147265703815,0.6138640048617142
2023-08-09 03:45:00+02:00,5.002680458283405e-05,0.25827467395662224,0.6092101928693218
2023-08-09 04:00:00+02:00,5.097368416484353e-05,0.25503627803548745,0.6268769636921473
2023-08-09 04:15:00+02:00,5.2867443328862486e-05,0.2513081134815397,0.6221296571950173
2023-08-09 04:30:00+02:00,5.697058818423688e-05,0.2477765144856693,0.6243550724459394
2023-08-09 04:45:00+02:00,5.760184123890987e-05,0.244273144728536,0.6024133884130785
2023-08-09 05:00:00+02:00,6.028466672127005e-05,0.24509664184629612,0.6250562812314703
2023-08-09 05:15:00+02:00,8.174727058015153e-05,0.2421329181499284,0.6016149945502546
2023-08-09 05:30:00+02:00,0.00016065390241427465,0.2396414713494875,0.5655175043856304
2023-08-09 05:45:00+02:00,0.0006254139639172598,0.2400569433969126,0.5495643894193746
2023-08-09 06:00:00+02:00,0.0019254796300162723,0.24546899070080383,0.570183618286541
2023-08-09 06:15:00+02:00,0.004459960644528306,0.241758491069256,0.5699560329789564
2023-08-09 06:30:00+02:00,0.008961426177401362,0.23636532098636076,0.5593850029893638
2023-08-09 06:45:00+02:00,0.015474063942462547,0.22419990457478192,0.5485310291038552
2023-08-09 07:00:00+02:00,0.024372838254187616,0.21623631509718735,0.5442376630310427
2023-08-09 07:15:00+02:00,0.03548620609496918,0.20574871994257168,0.5187099726651593
2023-08-09 07:30:00+02:00,0.048083649867286936,0.19382645599226206,0.5271675347713445
2023-08-09 07:45:00+02:00,0.0627699099975176,0.18440810819938155,0.5432473593953366
2023-08-09 08:00:00+02:00,0.08007886875665084,0.17779207520407747,0.4891054298163817
2023-08-09 08:15:00+02:00,0.09706715096401022,0.17331003410888693,0.4757578590742568
2023-08-09 08:30:00+02:00,0.11598028154833118,0.1675152468196645,0.4630868933006267
2023-08-09 08:45:00+02:00,0.13729438312610084,0.1640229609354096,0.4533228685098206
2023-08-09 09:00:00+02:00,0.15977867005397056,0.15993353139983252,0.4270017050445206
2023-08-09 09:15:00+02:00,0.18204233403923206,0.16116488040241386,0.41646019963537145
2023-08-09 09:30:00+02:00,0.2041134658428183,0.16111690801511214,0.4102194414441456
2023-08-09 09:45:00+02:00,0.2245949446414743,0.16240246408348927,0.40003961214542827
2023-08-09 10:00:00+02:00,0.24328997729540575,0.1664865248681409,0.37678285409198387
2023-08-09 10:15:00+02:00,0.26176754327200236,0.16937629835014817,0.3687017303864522
